 Total battles: 2188410
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Great Tusk         | 53.02387% | 1524297 | 34.827% | 1212095 | 35.404% | 
 | 2    | Gholdengo          | 43.68127% | 1496889 | 34.200% | 1145713 | 33.465% | 
 | 3    | Chien-Pao          | 32.76768% | 1051046 | 24.014% | 776327 | 22.676% | 
 | 4    | Dragonite          | 21.33157% | 770157 | 17.596% | 562902 | 16.442% | 
 | 5    | Iron Valiant       | 21.02021% | 847325 | 19.359% | 606980 | 17.729% | 
 | 6    | Garganacl          | 20.87618% | 774868 | 17.704% | 612224 | 17.883% | 
 | 7    | Kingambit          | 18.66595% | 521354 | 11.912% | 363245 | 10.610% | 
 | 8    | Rotom-Wash         | 18.62714% | 733947 | 16.769% | 640773 | 18.717% | 
 | 9    | Ting-Lu            | 17.18243% | 558437 | 12.759% | 472983 | 13.816% | 
 | 10   | Corviknight        | 17.04236% | 743223 | 16.981% | 604564 | 17.659% | 
 | 11   | Dragapult          | 16.08044% | 757024 | 17.296% | 590956 | 17.261% | 
 | 12   | Volcarona          | 15.58941% | 485157 | 11.085% | 363201 | 10.609% | 
 | 13   | Glimmora           | 14.07603% | 687111 | 15.699% | 611337 | 17.857% | 
 | 14   | Hatterene          | 13.04773% | 482759 | 11.030% | 380307 | 11.109% | 
 | 15   | Clodsire           | 12.75062% | 604008 | 13.800% | 489303 | 14.292% | 
 | 16   | Dondozo            | 11.80813% | 451696 | 10.320% | 354988 | 10.369% | 
 | 17   | Cinderace          | 11.59007% | 578858 | 13.226% | 449726 | 13.136% | 
 | 18   | Garchomp           | 11.44354% | 460463 | 10.520% | 387635 | 11.323% | 
 | 19   | Toxapex            | 10.85280% | 289576 |  6.616% | 237851 |  6.947% | 
 | 20   | Amoonguss          | 10.32788% | 403253 |  9.213% | 328546 |  9.597% | 
 | 21   | Meowscarada        | 10.08964% | 607020 | 13.869% | 485603 | 14.184% | 
 | 22   | Roaring Moon       |  9.97646% | 500732 | 11.441% | 359021 | 10.487% | 
 | 23   | Skeledirge         |  9.38939% | 552659 | 12.627% | 426625 | 12.461% | 
 | 24   | Iron Treads        |  9.34050% | 326566 |  7.461% | 264334 |  7.721% | 
 | 25   | Espathra           |  8.92180% | 270781 |  6.187% | 196753 |  5.747% | 
 | 26   | Azumarill          |  8.28820% | 320764 |  7.329% | 258337 |  7.546% | 
 | 27   | Chi-Yu             |  8.25604% | 343380 |  7.845% | 258219 |  7.542% | 
 | 28   | Iron Moth          |  7.32795% | 377625 |  8.628% | 289340 |  8.451% | 
 | 29   | Greninja           |  6.87984% | 84088  |  1.921% | 69627  |  2.034% | 
